,candidates,distr,num_of_candidate,num_sent,num_token,replaced,result,source
165,,,0,7,20,False,that,that
166,,,0,7,21,False,",",","
167,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'for' 'on' 'with'
 'as' 'it' 'have' 'he' 'I' 'they' 'but' 'this' 'which' 'or' 'one' 'people'
 'all' 'first' ""'"" 'she' 'other' 'there' 'time' 'what' 'most' 'says' 'say'
 'much' '10' 'think' 'use' '...' 'half' 'something' 'things' 'thought'
 'history' 'research' 'data' 'nothing' 'anything' 'everything' 'words'
 'word' 'science' 'reading' 'writing' 'text']",[0.         0.         0.01754056 ... 0.         0.         0.        ],57,7,22,True,writing,mathematics
168,,,0,7,23,False,was,was
169,,,0,7,24,False,written,written
170,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' '""' 'that' 'with' 'as' 'it'
 'not' '(' '--' 'but' 'this' 'more' 'or' 'about' ':' 'up' 'when' '-' 'all'
 'first' ""'"" 'if' 'so' 'only' 'just' 'most' 'like' 'because' ';' 'off'
 'down' 'while' 'even' 'much' 'both' 'used' '...' 'almost' 'using'
 'simply' 'mostly' 'mainly' 'differently' 'purely']",[0.         0.         0.01958751 ... 0.         0.         0.        ],51,7,25,True,and,out
171,,,0,7,26,False,in,in
172,,,0,7,27,False,words,words
173,,,0,7,28,False,",",","
174,,,0,7,29,False,limiting,limiting
175,,,0,7,30,False,mathematical,mathematical
176,"['<UNK>' ',' '.' 'to' 'and' 'or' 'use']",[0.         0.         0.14295039 ... 0.         0.         0.        ],7,7,31,True,",",discovery
177,,,0,7,32,False,.,.
178,,,0,8,0,False,Physical,Physical
179,,,0,8,1,False,geography,geography
180,"['<UNK>' ',' 'to' 'and' 'in' '""' 'that' 'for' 'on' 'is' '--' 'you' '-'
 'used' 'results' 'study' 'problems' 'students' 'comes' 'issues' 'helped'
 'works' 'continues' 'studies' 'combined' 'expert' 'helps' 'links' 'fits'
 'correlates']",[0.         0.         0.03330062 ... 0.         0.         0.        ],30,8,2,True,-,deals
181,,,0,8,3,False,with,with
182,,,0,8,4,False,the,the
183,,,0,8,5,False,study,study
184,"['<UNK>' 'the' ',' '.' 'to' 'and' 'in' '""' ""'s"" 'that' 'for' 'on' 'is'
 'with' 'said' 'as' 'at' 'by' 'from' '--' 'but' 'more' 'or' 'about' ':'
 '-' 'over' 'into' ""'"" 'like' ';' 'through' 'found' 'data' 'process'
 'subject' 'finding']",[0.         0.         0.02691955 ... 0.         0.         0.        ],37,8,6,True,like,of
185,,,0,8,7,False,processes,processes
186,"['<UNK>' 'the' ',' '.' 'to' 'of' 'in' '""' 'for' 'on' 'with' 'as' 'at' 'by'
 'from' '--' 'but' 'or' 'about' ':' 'when' '-' 'all' 'over' 'into' 'like'
 'such' 'including' 'found' 'set' 'using' 'affecting' 'occurring']",[0.         0.         0.03026002 ... 0.         0.         0.        ],33,8,8,True,but,and
187,"['<UNK>' ',' 'to' 'and' 'in' '""' 'that' 'for' 'on' 'is' 'as' 'it' 'are'
 'not' 'people' 'other' 'time' 'those' 'even' 'work' 'found' 'health'
 'life' 'points' 'information' 'power' 'times' 'services' 'things'
 'results' 'different' 'energy' 'possible' 'problems' 'risk' 'groups'
 'data' 'issues' 'areas' 'technology' 'products' 'needs' 'performance'
 'changes' 'conditions' 'questions' 'concerns' 'terms' 'events' 'common'
 'details' 'benefits' 'ways' 'sites' 'words' 'natural' 'projects'
 'systems' 'signs' 'activity' 'places' 'environment' 'emissions' 'risks'
 'activities' 'resources' 'decisions' 'bodies' 'effects' 'environmental'
 'material' 'features' 'options' 'views' 'plants' 'interests' 'nature'
 'factors' 'animals' 'images' 'challenges' 'opportunities' 'applications'
 'ideas' 'devices' 'associated' 'solutions' 'uses' 'changing'
 'circumstances' 'properties' 'matters' 'threats' 'stress' 'materials'
 'communications' 'behavior' 'regulations' 'causes' 'behaviour'
 'differences' 'types' 'consequences' 'acts' 'forms' 'technologies'
 'elements' 'relationships' 'diseases' 'communication' 'experiences'
 'developments' 'trends' 'aspects' 'connections' 'movements' 'situations'
 'chemicals' 'components' 'objects' 'structures' 'processes' 'functions'
 'topics' 'emotions' 'colors' 'reactions' 'clues' 'settings' 'substances'
 'impacts' 'environments' 'characteristics' 'variations' 'interaction'
 'observations' 'insights' 'innovations' 'influences' 'surfaces'
 'fluctuations' 'discoveries' 'concepts' 'preferences' 'dynamics' 'traits'
 'behaviors' 'stresses' 'molecules' 'interactions' 'organisms'
 'parameters' 'variables' 'phenomena' 'pathogens' 'anomalies']",[0.         0.         0.00642028 ... 0.         0.         0.        ],156,8,9,True,material,patterns
188,"['the' ',' '.' 'to' 'of' 'and' '""' 'for' 'on' 'with' 'as' 'at' 'by' 'from'
 '--' 'but' 'or' 'about' ':' 'over' 'like' 'through' 'including' 'during'
 'around' '...' 'across' 'within' 'using' 'throughout' 'involving'
 'surrounding' 'regarding' 'affecting']",[0. 0. 0. ... 0. 0. 0.],34,8,10,True,including,in
189,,,0,8,11,False,the,the
190,,,0,8,12,False,natural,natural
191,"['<UNK>' ',' 'and' '""' 'world' 'life' 'area' 'media' 'areas' 'conditions'
 'events' 'climate' 'systems' 'activity' 'activities' 'resources'
 'species' 'properties' 'materials' 'regions' 'patterns' 'structures'
 'processes' 'worlds' 'settings' 'environments' 'interaction' 'mechanisms'
 'interactions' 'ecosystems' 'phenomena' 'pathways' 'world.' 'cosmos']",[0.         0.         0.02945116 ... 0.         0.         0.        ],34,8,13,True,settings,environment
192,,,0,8,14,False,like,like
193,,,0,8,15,False,the,the
194,,,0,8,16,False,atmosphere,atmosphere
195,"['the' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'for' 'on' 'is' 'with' 'as'
 'at' 'by' 'from' '(' '--' 'or' 'about' ':' '-' '?' 'like' ';' '/'
 'through' 'between' '...' 'via']",[0. 0. 0. ... 0. 0. 0.],31,8,17,True,and,","
196,"['<UNK>' 'family' 'health' 'life' 'power' 'water' 'food' 'energy'
 'history' 'nuclear' 'data' 'body' 'race' 'music' 'gas' 'human' 'air'
 'social' 'field' 'road' 'space' 'heart' 'ground' 'climate' 'light' 'land'
 'natural' 'plant' 'environment' 'weather' 'radio' 'culture' 'industrial'
 'environmental' 'sea' 'storm' 'language' 'brain' 'wind' 'nature' 'mass'
 'physical' 'animals' 'electricity' 'rock' 'animal' 'fish' 'Earth' 'heat'
 'transport' 'pool' 'structure' 'surface' 'satellite' 'river' 'solar'
 'distance' 'tree' 'sun' 'atmosphere' 'transportation' 'chemical'
 'communication' 'soil' 'earth' 'color' 'landscape' 'swimming'
 'temperature' 'forest' 'ocean' 'moon' 'sky' 'noise' 'wildlife'
 'electrical' 'dust' 'aviation' 'cloud' 'marine' 'lake' 'radiation'
 'forests' 'rivers' 'clouds' 'navigation' 'maritime' 'biology' 'magnetic'
 'sunlight' 'oceans' 'cellular' 'geography' 'geological' 'forestry'
 'ecology' 'planetary' 'geology' 'flora' 'meteorological' 'topography']",[0.         0.         0.00989992 ... 0.         0.         0.        ],101,8,18,True,power,hydrosphere
197,['<UNK>' 'of' 'and' 'in' '(' '--' 'or' '/'],[0.        0.        0.1246177 ... 0.        0.        0.       ],8,8,19,True,and,","
198,"['<UNK>' 'the' ',' 'a' 'other' 'life' 'system' 'power' 'water' 'food'
 'energy' 'data' 'race' 'gas' 'human' 'air' 'social' 'field' 'road'
 'space' 'ground' 'property' 'travel' 'light' 'land' 'flight'
 'environment' 'weather' 'radio' 'culture' 'aircraft' 'sea' 'buildings'
 'wind' 'nature' 'mass' 'transport' 'pool' 'structure' 'communications'
 'surface' 'flow' 'distribution' 'sun' 'transportation' 'communication'
 'ocean' 'moon' 'electronics' 'noise' 'dust' 'aviation' 'cloud' 'marine'
 'telecommunications' 'navigation' 'cellular']",[0.         0.         0.01759657 ... 0.         0.         0.        ],57,8,20,True,food,biosphere
199,,,0,8,21,False,",",","
200,,,0,8,22,False,and,and
201,"['<UNK>' 'the' ',' 'to' 'of' 'and' '""']",[0.         0.         0.14333708 ... 0.         0.         0.        ],7,8,23,True,",",geosphere
202,,,0,8,24,False,.,.
203,"['<UNK>' 'the' ',' 'a' '""' ""'s"" 'that' 'The' ""'"" 'A' 'This' 'His' 'My'
 'Her' 'Their' 'Your']",[0.         0.         0.06242085 ... 0.         0.         0.        ],16,9,0,True,that,An
204,"['<UNK>' 'the' ',' '""' 'other' 'information' 'action' 'order' 'event'
 'article' 'account' 'English' 'individual' 'answer' 'advertising' 'image'
 'opinion' 'author' 'e-mail' 'application' 'artist' 'ad' 'assessment'
 'email' 'advertisement']",[0.         0.         0.04001008 ... 0.         0.         0.        ],25,9,1,True,order,autobiography
205,"[',' 'and' '""' ""'s"" 'was' 'as' 'it' 'have' 'has' '(' 'been' 'or' 'also'
 '-' 'being' 'claims' 'written' 'apparently' 'allegedly' 'purportedly']",[0. 0. 0. ... 0. 0. 0.],20,9,2,True,(,is
206,,,0,9,3,False,written,written
207,,,0,9,4,False,by,by
208,"['<UNK>' ',' 'and' 'a' '""' ""'s"" 'that' 'his' 'an' 'their' 'this' 'its'
 'one' 'her' 'two' 'other' 'some' 'your' 'another' 'each' 'young']",[0.         0.         0.04727084 ... 0.         0.         0.        ],21,9,5,True,their,the
209,,,0,9,6,False,person,person
210,,,0,9,7,False,himself,himself
211,,,0,9,8,False,or,or
212,,,0,9,9,False,herself,herself
213,,,0,9,10,False,",",","
214,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'for' 'on'
 'is' 'as' 'it' 'by' 'not' 'they' 'but' 'this' 'or' 'one' 'also' 'her'
 'you' 'two' 'people' ""'"" 'if' 'so' 'only' 'made' 'through' 'even' 'then'
 'part' 'another' 'used' 'taken' 'given' 'working' 'something' 'often'
 'played' 'published' 'playing' 'either' 'someone' 'simply' 'read'
 'provided' 'perhaps' 'written' 'usually' 'speaking' 'writing' 'possibly'
 'except' 'chosen']",[0.         0.         0.01638321 ... 0.         0.         0.        ],61,9,11,True,"""",sometimes
215,,,0,9,12,False,with,with
216,,,0,9,13,False,the,the
217,"['""' 'company' 'work' 'help' 'use' 'support' 'information' 'death' 'face'
 'interest' 'name' 'child' 'goal' 'means' 'hand' 'personal' 'terms' 'sign'
 'title' 'term' 'details' 'friend' 'hands' 'words' 'comments' 'choice'
 'benefit' 'partner' 'names' 'word' 'request' 'presence' 'material'
 'influence' 'image' 'advice' 'approval' 'eyes' 'interests' 'eye' 'agent'
 'knowledge' 'involvement' 'purpose' 'permission' 'gift' 'guidance'
 'intent' 'thoughts' 'intention' 'signature' 'suggestion' 'expression'
 'description' 'consent' 'invitation' 'spouse' 'characteristic' 'initials']",[0. 0. 0. ... 0. 0. 0.],59,9,14,True,benefit,assistance
218,['and' 'that' 'from' 'or'],[0. 0. 0. ... 0. 0. 0.],4,9,15,True,or,of
219,,,0,9,16,False,a,a
220,,,0,9,17,False,collaborator,collaborator
221,,,0,9,18,False,or,or
222,"['<UNK>' 'the' ',' 'to' 'of' 'and' '""' ""'s"" 'for' 'is' 'at' 'by' '(' '--'
 'or']",[0.         0.         0.06662847 ... 0.         0.         0.        ],15,9,19,True,the,ghostwriter
223,,,0,9,20,False,.,.
224,"['<UNK>' 'the' ',' 'a' '""' ""'s"" 'that' 'The' '(' 'I' '--' 'But' ""'"" 'We'
 'And' 'They' 'So' 'To' 'Not' 'Just' 'Your' 'Oh' 'Parents']",[0.         0.         0.04345575 ... 0.         0.         0.        ],23,10,0,True,Parents,You
225,"['<UNK>' ',' 'and' '""' 'said' 'be' 'have' 'are' 'not' 'will' '--' 'or'
 'also' ""'t"" 'can' 'no' 'only' 'just' 'like' 'do' 'get' 'even' 'may'
 'should' 'did' 'take' 'see' 'use' 'need' ""'re"" 'want' 'know' 'hit'
 'become' 'find' ""'m"" 'asked' 'call' 'include' 'love' 'tell' 'mean' 'ask'
 'lose' 'suggest' 'mention' 'prefer' 'owe']",[0.         0.         0.02082277 ... 0.         0.         0.        ],48,10,1,True,may,fuck
226,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'a' 'in' '""' 'for' 'is' 'with' 'at'
 'by' 'from' 'his' 'are' 'their' '--' 'or' 'about' ':' 'her' 'you' '-' '?'
 'no' 'home' 'my' 'American' '...' 'old' 'kids' 'kid']",[0.         0.         0.02936882 ... 0.         0.         0.        ],34,10,2,True,old,your
227,,,0,10,3,False,dad,dad
228,"['<UNK>' 'to' 'of' 'and' 'in' '""' ""'s"" 'for' 'at' 'by' 'from' '(' 'or'
 'after' 'up' ""'"" 'if' 'just' 'before']",[0.         0.         0.05258102 ... 0.         0.         0.        ],19,10,4,True,',.
229,"['<UNK>' ',' '""' ""'s"" 'that' '(' 'I' '--' ""'"" 'If' 'When' 'You' 'What'
 'Now' 'How' 'Once' 'Where' 'Oh']",[0.        0.        0.0555919 ... 0.        0.        0.       ],18,11,0,True,I,Yeah
230,,,0,11,1,False,and,and
231,"['<UNK>' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'is' 'with' 'as'
 'at' 'it' 'by' 'who' 'I' '--' 'they' 'but' 'this' 'which' 'you' 'when'
 'can' 'first' ""'"" 'there' 'if' 'so' 'what' 'just' 'like' 'now' 'do' 'say'
 'how' 'way' 'then' 'well' 'good' 'same' 'think' 'me' '...' 'right' 'know'
 '!' 'best' 'here' 'saying' 'things' 'old' 'let' 'wrong' 'talking' 'happy'
 'thinking' 'please' 'sorry' 'stupid']",[0.         0.         0.01592388 ... 0.         0.         0.        ],63,11,2,True,please,where
232,,,0,11,3,False,are,are
233,,,0,11,4,False,you,you
234,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' 'is' 'by' 'not' '--' 'but'
 'this' 'or' 'you' 'when' 'people' '-' ""'"" '?' 'if' 'just' 'being' '...'
 'really' 'saying' 'actually' 'concerned' '..']",[0.         0.         0.03224472 ... 0.         0.         0.        ],31,11,5,True,just,now
235,,,0,11,6,False,?,?
236,,,0,12,0,False,shut,shut
237,,,0,12,1,False,the,the
238,"['<UNK>' 'the' ',' 'and' '""' 'two' ""'"" 'other' 'back' 'way' 'end' 'show'
 'right' 'top' 'line' 'open' 'fire' 'book' 'stock' 'ground' 'eyes'
 'lights']",[0.         0.         0.04560827 ... 0.         0.         0.        ],22,12,2,True,stock,fuck
239,,,0,12,3,False,up,up
240,,,0,12,4,False,.,.
241,,,0,12,5,False,you,you
242,,,0,12,6,False,and,and
243,,,0,12,7,False,the,the
244,"['<UNK>' 'the' ',' '""' 'more' 'one' 'two' 'last' 'first' 'other' 'only'
 'most' 'three' 'many' 'group' 'good' 'few' 'best' 'couple']",[0.         0.         0.05263978 ... 0.         0.         0.        ],19,12,8,True,",",rest
245,"['<UNK>' 'the' ',' '.' 'to' 'in' 'have' 'are' 'you' 'all' 'do' 'should'
 '...']",[0.         0.         0.07691876 ... 0.         0.         0.        ],13,12,9,True,are,of
246,,,0,12,10,False,your,your
247,"['<UNK>' 'the' ',' 'and' '""' ""'"" 'other' 'new' 'time' 'U.S.' 'public' 'US'
 'American' 'business' 'family' 'top' 'high' 'political' 'school' 'big'
 'small' 'great' 'old' 'personal' 'household']",[0.         0.         0.04003555 ... 0.         0.         0.        ],25,12,11,True,old,faggot
248,,,0,12,12,False,friends,friends
249,,,0,12,13,False,should,should
250,,,0,12,14,False,be,be
251,,,0,12,15,False,burned,burned
252,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'in' '""' ""'s"" 'that' 'for' 'on' 'with'
 'as' 'by' 'from' '--' 'but' 'more' 'about' 'up' 'out' 'all' 'into' 'only'
 'just' 'before' 'against' 'off' 'down' 'around' 'behind' 'outside'
 'using']",[0.         0.         0.02926603 ... 0.         0.         0.        ],34,12,16,True,that,at
253,,,0,12,17,False,the,the
254,,,0,12,18,False,stake,stake
255,,,0,13,0,False,you,you
256,,,0,13,1,False,are,are
257,,,0,13,2,False,a,a
258,,,0,13,3,False,land,land
259,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'a' 'in' '""' ""'s"" 'that' 'for' 'on'
 'is' 'with' 'by' 'not' 'or' 'up' 'one' 'out' 'you' 'people' 'over' ""'""
 'so' 'only' 'before' 'like' 'back' 'off' 'down' 'company' 'through'
 'country' 'well' 'your' 'man' 'use' '...' 'right' '!' 'best' 'away'
 'change' 'care' 'head' 'service' 'issue' 'line' 'open' 'control' 'name'
 'child' 'person' 'road' 'someone' 'property' 'hands' 'card' '*' 'airline'
 'dog' 'path' 'kid']",[0.         0.         0.01518487 ... 0.         0.         0.        ],66,13,4,True,open,creature
260,"['<UNK>' ',' '""' '(' '--' ':' '-' '?' ';' '/' '...' '!']",[0.         0.         0.08316967 ... 0.         0.         0.        ],12,13,5,True,;,.
261,,,0,13,6,False,You,You
262,,,0,13,7,False,would,would
263,"['<UNK>' ',' '.' 'and' 'in' '""' 'as' 'be' 'have' 'not' 'also' ""'t"" 'you'
 'all' 'no' 'only' 'just' 'most' 'now' 'do' 'say' 'even' 'much' 'work'
 'go' 'think' 'me' 'use' 'need' '...' 'come' 'want' 'know' 'never' 'pay'
 'play' 'care' 'really' 'look' 'always' 'talk' 'love' 'simply' 'mean'
 'ask' 'note' 'rarely' 'disagree']",[0.         0.         0.02079885 ... 0.         0.         0.        ],48,13,8,True,disagree,drown
264,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' '""' 'for' 'at' 'by' '(' '--' 'but'
 'or' ':' '-' ""'"" '?' ';']",[0.         0.         0.04988313 ... 0.         0.         0.        ],20,13,9,True,:,...
265,,,0,13,10,False,.,.
266,,,0,14,0,False,But,But
267,,,0,14,1,False,how,how
268,,,0,14,2,False,would,would
269,"['<UNK>' 'the' ',' 'a' '""' 'that' 'it' 'he' 'not' 'I' 'they' 'this' 'one'
 'people' 'we' 'she' 'even' 'your' 'children' 'companies' 'things'
 'parents' 'anything' 'someone' 'anyone' 'consumers']",[0.         0.         0.03833679 ... 0.         0.         0.        ],26,14,3,True,she,you
270,"['<UNK>' ',' 'of' 'and' '""' 'as' 'not' 'all' '?' 'do' 'even' 'help' 'go'
 'really' 'ever' 'rather' 'possibly' 'please']",[0.         0.         0.05551305 ... 0.         0.         0.        ],18,14,4,True,<UNK>,actually
271,"['<UNK>' ',' 'of' 'and' 'be' 'have' 'not' '?' 'like' 'do' 'make' 'say'
 'even' 'take' 'work' 'see' 'think' 'use' 'come' 'put' 'place' 'want'
 'know' 'win' 'pay' 'play' 'give' 'find' 'really' 'cut' 'keep' 'share'
 'look' 'call' 'try' 'feel' 'turn' 'hold' 'leave' 'let' 'break' 'pass'
 'read' 'mean' 'figure' 'avoid' 'act' 'carry' 'pick' 'check' 'remember'
 'pull' 'wear' 'guess' 'assume' 'suppose']",[0.         0.         0.01784055 ... 0.         0.         0.        ],56,14,5,True,want,get
272,,,0,14,6,False,the,the
273,,,0,14,7,False,key,key
274,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' ""'s"" 'is' 'was' 'said'
 'it' 'by' 'are' 'not' '(' '--' 'but' 'this' 'or' 'would' ':' 'you' 'when'
 'people' '-' '?' 'if' 'now' 'say' 'should' 'work' 'money' 'business'
 '...' 'know' 'information' 'enough' 'service' 'things' 'action' 'thing'
 'stock' 'effect' 'message' 'benefit' 'link' 'item']",[0.        0.        0.0200048 ... 0.        0.        0.       ],50,14,8,True,benefit,out
275,,,0,14,9,False,?,?
276,,,0,15,0,False,fucking,fucking
277,"['<S>' '<UNK>' ',' '.' 'and' '""' 'that' 'said' 'as' 'it' 'by' ')' 'not'
 '(' '--' 'but' 'this' 'more' ':' 'up' 'people' '-' ""'"" '?' 'if' 'so'
 'because' ';' 'do' 'since' 'even' 'then' 'did' 'well' '...' '!' 'does'
 'something' 'things' 'thing' '*' '..' 'yes' '@' '....' '.....']",[0.         0.02168756 0.02170972 ... 0.         0.         0.        ],46,15,1,True,does,behave
278,"['<UNK>' ',' 'to' 'of' 'and' 'in' '""' 'that' 'for' 'on' 'is' 'as' 'at'
 'it' 'not' '(' 'will' '--' 'but' 'would' ':' 'when' '-' 'can' ""'"" 'there'
 '?' 'if' 'so' 'before' ';' 'should' '...' 'here' 'does' '*' '..']",[0.         0.         0.02700403 ... 0.         0.         0.        ],37,15,2,True,"""",then
279,,,0,15,3,False,you,you
280,,,0,15,4,False,prick,prick
281,,,0,15,5,False,!,!
282,,,0,16,0,False,You,You
283,,,0,16,1,False,right,right
284,"['<UNK>' ',' 'and' 'that' 'as' 'not' 'or' 'when' 'before' 'like' 'where'
 'say' 'how' 'think' 'until']",[0.         0.         0.06660741 ... 0.         0.         0.        ],15,16,2,True,like,if
285,,,0,16,3,False,you,you
286,,,0,16,4,False,are,are
287,,,0,16,5,False,relaxe,relaxe
288,,,0,16,6,False,then,then
289,,,0,16,7,False,you,you
290,"['<UNK>' ',' '.' 'to' 'and' '""' 'is' 'be' 'are' 'not' 'will' '--' 'or'
 'would' 'also' 'could' 'only' 'just' 'do' 'say' 'even' 'may' 'should'
 'then' 'help' 'might' 'never' 'better' 'must' 'really' 'often' 'always'
 ""'ll"" ""'d"" 'probably' 'either' 'actually' 'cannot' 'simply' 'usually'
 'definitely']",[0.         0.         0.02426712 ... 0.         0.         0.        ],41,16,8,True,are,can
291,"['<UNK>' ',' '.' 'to' 'and' 'in' '""' 'be' 'have' 'not' 'but' ""'t"" 'you'
 'no' 'only' 'even' 'always']",[0.         0.         0.05886778 ... 0.         0.         0.        ],17,16,9,True,you,give
292,,,0,16,10,False,better,better
293,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' 'that' 'for' 'on' 'with'
 'at' 'it' '(' '--' 'or' ':' 'up' 'you' '-' '?' 'them' ';' 'back' 'off'
 '/' 'company' 'way' 'work' 'help' 'good' 'money' 'use' '...' 'life'
 'support' '!' 'away' 'care' 'service' 'things' 'food' 'thought' 'jobs'
 'music' 'performance' 'lives' 'personal' 'education' 'talk' 'focus'
 'speech' 'product' 'sex' 'score' 'picture' 'advice' 'hair' 'fun' 'stuff'
 'sleep' 'tone' 'taste' 'thoughts' 'feelings']",[0.        0.        0.0149621 ... 0.        0.        0.       ],67,16,11,True,(,result
294,,,0,16,12,False,or,or
295,,,0,16,13,False,perform,perform
296,,,0,16,14,False,and,and
297,,,0,16,15,False,your,your
298,,,0,16,16,False,identity,identity
299,,,0,16,17,False,should,should
300,"[',' 'and' '""' 'have' 'are' 'not' 'more' ""'t"" 'you' 'no' 'only' 'just'
 'do' 'get' 'work' 'help' 'come' 'know' 'return' 'rest' 'benefit'
 'recover' 'suffer' 'differ' 'hang']",[0. 0. 0. ... 0. 0. 0.],25,16,18,True,work,be
301,"['<UNK>' ',' 'to' 'of' 'and' 'in' '""' ""'s"" 'for' 'on' 'with' 'as' 'at'
 'not' 'about' 'up' 'out' 'you' 'all' 'over' 'only' 'just' 'like' 'found'
 'without' 'better' 'seen' 'getting' 'done' 'read' 'improving'
 'appreciated']",[0.         0.         0.03124935 ... 0.         0.         0.        ],32,16,19,True,about,from
302,,,0,16,20,False,your,your
303,,,0,16,21,False,work,work
304,"['<UNK>' 'to' 'of' 'and' 'in' '""' ""'s"" 'for' 'at' 'by' 'from' ')' '(' 'or'
 'after' ""'"" 'if' 'just' 'before']",[0.         0.         0.05257216 ... 0.         0.         0.        ],19,16,22,True,before,.
305,"['<UNK>' 'the' ',' '""' ""'s"" 'that' 'he' 'What' 'Other' 'Those']",[0.         0.         0.10001118 ... 0.         0.         0.        ],10,17,0,True,Those,The
306,,,0,17,1,False,laughs,laughs
307,,,0,17,2,False,you,you
308,,,0,17,3,False,two,two
309,,,0,17,4,False,heard,heard
310,"['<UNK>' 'the' ',' 'and' 'a' '""' ""'s"" 'that' 'is' 'was' 'said' 'as' 'it'
 'be' 'have' 'he' 'has' 'are' 'had' '--' 'but' 'more' 'or' ':' 'up' 'one'
 'also' 'when' '-' 'all' 'first' 'some' 'if' 'only' 'him' 'most' 'now'
 'many' 'back' 'get' 'those' 'even' 'may' 'then' 'Monday' 'show' 'later'
 'again' 'almost' 'often' 'once' 'recently' 'appeared' 'soon' 'probably'
 'quickly' 'seemed' 'sometimes' 'mostly' 'directly' 'moments' 'briefly']",[0.         0.         0.01611061 ... 0.         0.         0.        ],62,17,5,True,those,were
311,,,0,17,6,False,triggered,triggered
312,"['the' ',' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'for' 'on' 'with' 'as' 'at'
 'from' 'but' 'after' 'out' 'two' 'over' 'last' 'some' 'only' 'most'
 'like' 'off' 'through' 'even' 'early']",[0. 0. 0. ... 0. 0. 0.],29,17,7,True,and,by
313,,,0,17,8,False,memories,memories
314,,,0,17,9,False,of,of
315,,,0,17,10,False,his,his
316,"['<UNK>' 'the' ',' '.' 'and' 'a' 'in' '""' ""'s"" 'that' 'as' 'his' '('
 'more' 'or' 'one' 'two' 'last' 'first' ""'"" 'other' 'new' 'only' 'most'
 'three' 'being' 'many' 'former' 'four' 'five' 'show' 'early' 'recent'
 'big' 'taking' 'young' 'often' 'playing' 'sometimes' 'fellow' 'famous']",[0.         0.         0.02440374 ... 0.         0.         0.        ],41,17,11,True,new,own
317,"['<UNK>' 'the' ',' 'to' 'of' 'and' 'a' 'in' '""' 'that' 'on' 'with' '('
 '--' 'but' 'one' 'two' 'people' '-' 'first' ""'"" 'only' 'most' 'three'
 'home' 'next' 'day' 'man' 'show' 'little' 'campaign' 'play' 'car' 'face'
 'film' 'name' 'child' 'music' 'story' 'book' 'heart' 'words' 'mind'
 'voice' 'image' 'character' 'dog' 'hair' 'conversation']",[0.         0.         0.02042177 ... 0.         0.         0.        ],49,17,12,True,in,high-flying
318,"[',' 'and' '""' 'first' 'take' 'show' 'run' 'play' 'start' 'film' 'shows'
 'playing' 'heart' 'love' 'writing' 'acting' 'pop' 'dance' 'comedy'
 'singing' 'spell']",[0. 0. 0. ... 0. 0. 0.],21,17,13,True,",",exits
319,,,0,17,14,False,off,off
320,,,0,17,15,False,moving,moving
321,,,0,17,16,False,beasts,beasts
322,,,0,18,0,False,Well,Well
323,,,0,18,1,False,",",","
324,"['<UNK>' 'the' ',' 'of' 'and' 'a' '""' 'that' 'for' 'it' 'his' 'I' 'their'
 'they' 'but' 'this' 'more' 'her' 'when' 'two' 'all' 'first' 'we' 'other'
 'some' 'if' 'so' 'most' 'three' 'Obama' 'many' 'our' 'those' 'my' 'your'
 'both' 'these' 'good' 'China' 'right' 'few' 'hey']",[0.         0.         0.02377574 ... 0.         0.         0.        ],42,18,2,True,this,you
325,"['<UNK>' ',' 'and' '""' 'not' 'will' '--' 'would' 'also' 'people' 'all'
 'can' 'could' 'just' 'now' 'do' 'even' 'may' 'should' 'still' 'did' 'too'
 'might' 'already' 'never' 'must' 'really' ""'ll"" ""'d"" 'probably'
 'actually' 'certainly' 'definitely' 'folks']",[0.         0.         0.02935412 ... 0.         0.         0.        ],34,18,3,True,",",guys
326,,,0,18,4,False,have,have
327,"['<UNK>' 'the' ',' '.' 'to' 'of' 'and' 'in' '""' 'that' 'for' 'on' 'said'
 'at' 'it' 'have' 'had' '--' 'been' 'this' 'more' 'about' 'up' 'one' 'out'
 'her' 'you' 'all' 'over' ""'"" 'other' 'there' 'time' 'them' 'so' 'him'
 'like' 'now' 'made' 'since' 'much' 'going' 'left' 'good' 'used' 'me'
 'long' '...' 'right' 'come' 'already' 'us' 'here' 'better' 'taken' 'seen'
 'enough' 'something' 'great' 'thought' 'shot' 'started' 'recently' 'done'
 'worked' 'tried' 'anything' 'heard' 'met' 'read' 'everything' 'passed'
 'changed' 'written' 'stopped' 'learned' 'fun' 'lied']",[0.         0.         0.01284058 ... 0.         0.         0.        ],78,18,5,True,--,gone
